num_people,reservation_time,name,dine_time,meal_split,status
2,0,Laurie Walker,10,10:20:20:40:10,CONFIRMED
2,0,Jason Watson,10,10:20:20:40:10,CONFIRMED
2,0,Shelby Schroeder,10,10:20:20:40:10,CONFIRMED
2,0,Anne Vang,10,10:20:20:40:10,CONFIRMED
2,0,John Rogers,10,10:20:20:40:10,CONFIRMED
2,0,Jeremy Chambers,10,10:20:20:40:10,CONFIRMED
2,0,Ronald Fowler,10,10:20:20:40:10,CONFIRMED
2,0,Kelly Bailey,10,10:20:20:40:10,CONFIRMED
2,0,Renee Miller,10,10:20:20:40:10,CONFIRMED
2,0,Linda Cortez,10,10:20:20:40:10,CONFIRMED
2,0,Elizabeth Atkins,10,10:20:20:40:10,CONFIRMED
2,0,Larry Marquez,10,10:20:20:40:10,CONFIRMED
2,0,Kathleen Jones,10,10:20:20:40:10,CONFIRMED
2,0,Frank Martinez,10,10:20:20:40:10,CONFIRMED
2,0,Teresa Pearson,10,10:20:20:40:10,CONFIRMED
2,0,Angela Anderson,10,10:20:20:40:10,CONFIRMED
2,0,Patrick Taylor,10,10:20:20:40:10,CONFIRMED
2,0,Tina Johnson,10,10:20:20:40:10,CONFIRMED
2,0,Patricia Tran,10,10:20:20:40:10,CONFIRMED
2,0,Kenneth Lucero,10,10:20:20:40:10,CONFIRMED
6,0,Sara Potter,10,10:20:20:40:10,CONFIRMED
2,0,Elizabeth Reyes,10,10:20:20:40:10,CONFIRMED
2,0,Jermaine Morris MD,10,10:20:20:40:10,CONFIRMED
2,0,Lisa Cole,10,10:20:20:40:10,CONFIRMED
2,0,Christopher Wilson,10,10:20:20:40:10,CONFIRMED
2,0,Brendan Huff,10,10:20:20:40:10,CONFIRMED
2,0,Teresa Haney DVM,10,10:20:20:40:10,CONFIRMED
2,0,Angela Ramirez,10,10:20:20:40:10,CONFIRMED
2,0,William Aguilar,10,10:20:20:40:10,CONFIRMED
2,0,Jonathan Lyons,10,10:20:20:40:10,CONFIRMED
2,0,Judy Barron,10,10:20:20:40:10,CONFIRMED
2,0,James Munoz,10,10:20:20:40:10,CONFIRMED
2,0,Jerome Carroll,10,10:20:20:40:10,CONFIRMED
2,0,Dr. Christy Buck,10,10:20:20:40:10,CONFIRMED
2,0,Jesus Brown,10,10:20:20:40:10,CONFIRMED
2,0,Ellen Wolfe,10,10:20:20:40:10,CONFIRMED
2,0,Samuel Johnson,10,10:20:20:40:10,CONFIRMED
2,0,Debbie Anderson,10,10:20:20:40:10,CONFIRMED
2,0,Lori Mcdonald,10,10:20:20:40:10,CONFIRMED
2,0,Hunter Boyd,10,10:20:20:40:10,CONFIRMED
2,0,Samuel Allen,10,10:20:20:40:10,CONFIRMED
2,0,Joshua Foster MD,10,10:20:20:40:10,CONFIRMED
2,0,Mr. Sean Michael,10,10:20:20:40:10,CONFIRMED
2,0,Ann Johnson,10,10:20:20:40:10,CONFIRMED
2,0,Kimberly Boyle,10,10:20:20:40:10,CONFIRMED
2,0,Yolanda Boyd,10,10:20:20:40:10,CONFIRMED
6,0,Max Avila,10,10:20:20:40:10,CONFIRMED
2,0,Michael Knapp,10,10:20:20:40:10,CONFIRMED
6,0,Noah Lee,10,10:20:20:40:10,CONFIRMED
2,0,Henry Smith,10,10:20:20:40:10,CONFIRMED
2,0,Daniel Dunn,10,10:20:20:40:10,CONFIRMED
2,0,Stephanie Woodard,10,10:20:20:40:10,CONFIRMED
2,0,Belinda Johnson,10,10:20:20:40:10,CONFIRMED
2,0,Amanda Wilson,10,10:20:20:40:10,CONFIRMED
2,0,Steve Johnson,10,10:20:20:40:10,CONFIRMED
