num_people,reservation_time,name,dine_time,meal_split,status
2,0,Alice Johnson,20,10:20:20:40:10,CONFIRMED
2,0,Bob Smith,20,10:20:20:40:10,CONFIRMED
2,0,Charlie Brown,20,10:20:20:40:10,CONFIRMED
2,0,Diana Prince,20,10:20:20:40:10,CONFIRMED
2,0,Elaine Thompson,20,10:20:20:40:10,CONFIRMED
2,0,Frank Underwood,20,10:20:20:40:10,CONFIRMED
2,0,Grace Hopper,20,10:20:20:40:10,CONFIRMED
2,0,Henry Ford,20,10:20:20:40:10,CONFIRMED
4,0,Ivy Green,20,10:20:20:40:10,CONFIRMED
4,0,Jack Daniels,20,10:20:20:40:10,CONFIRMED
2,30,Laura Croft,20,10:20:20:40:10,CONFIRMED
2,30,Mike Tyson,20,10:20:20:40:10,CONFIRMED
2,30,Nina Williams,20,10:20:20:40:10,CONFIRMED
2,30,Oliver Twist,20,10:20:20:40:10,CONFIRMED
2,30,Paula Abdul,20,10:20:20:40:10,CONFIRMED
2,30,Quincy Jones,20,10:20:20:40:10,CONFIRMED
2,30,Rachel Green,20,10:20:20:40:10,CONFIRMED
2,30,Steve Rogers,20,10:20:20:40:10,CONFIRMED
4,30,Tina Turner,20,10:20:20:40:10,CONFIRMED
4,30,Ursula Andress,20,10:20:20:40:10,CONFIRMED
2,60,Vin Diesel,20,10:20:20:40:10,CONFIRMED
2,60,Will Smith,20,10:20:20:40:10,CONFIRMED
2,60,Xena Warrior,20,10:20:20:40:10,CONFIRMED
2,60,Yara Shahidi,20,10:20:20:40:10,CONFIRMED
2,60,Zara Phillips,20,10:20:20:40:10,CONFIRMED
2,60,Aaron Paul,20,10:20:20:40:10,CONFIRMED
2,60,Betty White,20,10:20:20:40:10,CONFIRMED
2,60,Chris Evans,20,10:20:20:40:10,CONFIRMED
4,60,Dwayne Johnson,20,10:20:20:40:10,CONFIRMED
4,60,Ella Fitzgerald,20,10:20:20:40:10,CONFIRMED
2,90,Fred Astaire,20,10:20:20:40:10,CONFIRMED
2,90,Gina Carano,20,10:20:20:40:10,CONFIRMED
2,90,Harrison Ford,20,10:20:20:40:10,CONFIRMED
2,90,Iris Apatow,20,10:20:20:40:10,CONFIRMED
2,90,Jackie Chan,20,10:20:20:40:10,CONFIRMED
2,90,Keanu Reeves,20,10:20:20:40:10,CONFIRMED
2,90,Lauren Bacall,20,10:20:20:40:10,CONFIRMED
2,90,Morgan Freeman,20,10:20:20:40:10,CONFIRMED
4,90,Natalie Portman,20,10:20:20:40:10,CONFIRMED
4,90,Oprah Winfrey,20,10:20:20:40:10,CONFIRMED
2,120,Pablo Picasso,20,10:20:20:40:10,CONFIRMED
2,120,Quentin Tarantino,20,10:20:20:40:10,CONFIRMED
2,120,Russell Crowe,20,10:20:20:40:10,CONFIRMED
2,120,Sylvester Stallone,20,10:20:20:40:10,CONFIRMED
2,120,Terry Crews,20,10:20:20:40:10,CONFIRMED
2,120,Uzo Aduba,20,10:20:20:40:10,CONFIRMED
2,120,Vanessa Williams,20,10:20:20:40:10,CONFIRMED
2,120,Wesley Snipes,20,10:20:20:40:10,CONFIRMED
4,120,Xander Cage,20,10:20:20:40:10,CONFIRMED
4,120,Yoko Ono,20,10:20:20:40:10,CONFIRMED
2,150,Zoe Saldana,20,10:20:20:40:10,CONFIRMED
2,150,Ariana Grande,20,10:20:20:40:10,CONFIRMED
2,150,Beyoncé Knowles,20,10:20:20:40:10,CONFIRMED
2,150,Celine Dion,20,10:20:20:40:10,CONFIRMED
2,150,Demi Lovato,20,10:20:20:40:10,CONFIRMED
2,150,Elton John,20,10:20:20:40:10,CONFIRMED
2,150,Fiona Apple,20,10:20:20:40:10,CONFIRMED
2,150,George Clooney,20,10:20:20:40:10,CONFIRMED
4,150,Hugh Jackman,20,10:20:20:40:10,CONFIRMED
4,150,Ian McKellen,20,10:20:20:40:10,CONFIRMED
2,180,Jennifer Lopez,20,10:20:20:40:10,CONFIRMED
2,180,Kate Winslet,20,10:20:20:40:10,CONFIRMED
2,180,Leonardo DiCaprio,20,10:20:20:40:10,CONFIRMED
2,180,Mila Kunis,20,10:20:20:40:10,CONFIRMED
2,180,Nicole Kidman,20,10:20:20:40:10,CONFIRMED
2,180,Orlando Bloom,20,10:20:20:40:10,CONFIRMED
2,180,Priyanka Chopra,20,10:20:20:40:10,CONFIRMED
2,180,Queen Latifah,20,10:20:20:40:10,CONFIRMED
4,180,Rami Malek,20,10:20:20:40:10,CONFIRMED
4,180,Scarlett Johansson,20,10:20:20:40:10,CONFIRMED
2,210,Taylor Swift,20,10:20:20:40:10,CONFIRMED
2,210,Uma Thurman,20,10:20:20:40:10,CONFIRMED
2,210,Viola Davis,20,10:20:20:40:10,CONFIRMED
2,210,Winona Ryder,20,10:20:20:40:10,CONFIRMED
2,210,Xochitl Gomez,20,10:20:20:40:10,CONFIRMED
2,210,Yahya Abdul-Mateen II,20,10:20:20:40:10,CONFIRMED
2,210,Zach Galifianakis,20,10:20:20:40:10,CONFIRMED
2,210,Abigail Breslin,20,10:20:20:40:10,CONFIRMED
4,210,Ben Affleck,20,10:20:20:40:10,CONFIRMED
4,210,Cate Blanchett,20,10:20:20:40:10,CONFIRMED
2,240,Daniel Radcliffe,20,10:20:20:40:10,CONFIRMED
2,240,Emma Watson,20,10:20:20:40:10,CONFIRMED
2,240,Freddie Highmore,20,10:20:20:40:10,CONFIRMED
2,240,Gwyneth Paltrow,20,10:20:20:40:10,CONFIRMED
2,240,Helena Bonham Carter,20,10:20:20:40:10,CONFIRMED
2,240,Idris Elba,20,10:20:20:40:10,CONFIRMED
2,240,James McAvoy,20,10:20:20:40:10,CONFIRMED
2,240,Karen Gillan,20,10:20:20:40:10,CONFIRMED
4,240,Liam Neeson,20,10:20:20:40:10,CONFIRMED
4,240,Margot Robbie,20,10:20:20:40:10,CONFIRMED
2,270,Natalie Dormer,20,10:20:20:40:10,CONFIRMED
2,270,Octavia Spencer,20,10:20:20:40:10,CONFIRMED
2,270,Paul Rudd,20,10:20:20:40:10,CONFIRMED
2,270,Rose Byrne,20,10:20:20:40:10,CONFIRMED
2,270,Sandra Bullock,20,10:20:20:40:10,CONFIRMED
2,270,Taron Egerton,20,10:20:20:40:10,CONFIRMED
2,270,Uma Thurman,20,10:20:20:40:10,CONFIRMED
